# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             190   N   00000b2c   ff5ff06f   00000b2e   x17_a7     0000160e
             191   N   00000b2e   08851717   00000b22   ---        --------
             196   N   00000b22   0000c791   00000b26   x15_a5     00000072
             197   N   00000b26   00f82023   00000b28   ---        --------
             199   N   00000b28   00000885   00000b2c   ---        --------
             200   N   00000b2c   ff5ff06f   00000b2e   x17_a7     0000160f
             201   N   00000b2e   08851717   00000b22   ---        --------
             206   N   00000b22   0000c791   00000b26   x15_a5     00000075
             207   N   00000b26   00f82023   00000b28   ---        --------
             209   N   00000b28   00000885   00000b2c   ---        --------
             210   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001610
             211   N   00000b2e   08851717   00000b22   ---        --------
             216   N   00000b22   0000c791   00000b26   x15_a5     00000063
             217   N   00000b26   00f82023   00000b28   ---        --------
             219   N   00000b28   00000885   00000b2c   ---        --------
             220   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001611
             221   N   00000b2e   08851717   00000b22   ---        --------
             226   N   00000b22   0000c791   00000b26   x15_a5     00000074
             227   N   00000b26   00f82023   00000b28   ---        --------
             229   N   00000b28   00000885   00000b2c   ---        --------
             230   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001612
             231   N   00000b2e   08851717   00000b22   ---        --------
             236   N   00000b22   0000c791   00000b26   x15_a5     00000069
             237   N   00000b26   00f82023   00000b28   ---        --------
             239   N   00000b28   00000885   00000b2c   ---        --------
             240   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001613
             241   N   00000b2e   08851717   00000b22   ---        --------
             246   N   00000b22   0000c791   00000b26   x15_a5     0000006f
             247   N   00000b26   00f82023   00000b28   ---        --------
             249   N   00000b28   00000885   00000b2c   ---        --------
             250   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001614
             251   N   00000b2e   08851717   00000b22   ---        --------
             256   N   00000b22   0000c791   00000b26   x15_a5     0000006e
             257   N   00000b26   00f82023   00000b28   ---        --------
             259   N   00000b28   00000885   00000b2c   ---        --------
             260   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001615
             261   N   00000b2e   08851717   00000b22   ---        --------
             266   N   00000b22   0000c791   00000b26   x15_a5     00000000
             267   N   00000b26   00f82023   00000b32   ---        --------
             271   N   00000b32   20230713   00000b36   x14_a4     00001b32
             273   N   00000b36   0000c311   00000b3a   x14_a4     00001800
             274   N   00000b3a   00008702   00000b3c   ---        --------
             275   N   00000b3c   34202773   00001800   ---        --------
             278   N   00001800   e6dff06f   00001840   ---        --------
             281   N   00001840   342022f3   00001844   x06_t1     00000002
             282   N   00001844   ec6296e3   00001848   x05_t0     00000002
             283   N   00001848   341022f3   0000184c   ---        --------
             284   N   0000184c   343023f3   00001850   x05_t0     0000161c
             285   N   00001850   00038e63   00001854   x07_t2     00000000
             286   N   00001854   0002d303   00001870   ---        --------
             289   N   00001870   dac30313   00001874   x06_t1     00001870
             290   N   00001874   04628e63   00001878   x06_t1     0000161c
             291   N   00001878   00000317   000018d4   ---        --------
             294   N   000018d4   34129073   000018d8   x05_t0     00001624
             295   N   000018d8   30200073   000018dc   ---        --------
             297   N   000018dc   00200337   00001624   ---        --------
             300   N   00001624   80028293   00001628   x05_t0     00002000
             301   N   00001628   3002b073   0000162c   x05_t0     00001800
             302   N   0000162c   00001337   00001630   ---        --------
             303   N   00001630   00001337   00001630   ---        --------
             304   N   00001630   80030313   00001634   x06_t1     00001000
             305   N   00001634   30032073   00001638   x06_t1     00000800
             306   N   00001638   300023f3   0000163c   ---        --------
             307   N   0000163c   300023f3   0000163c   ---        --------
             308   N   0000163c   0053f3b3   00001640   x07_t2     00001880
             309   N   00001640   0e731063   00001644   x07_t2     00001800
             310   N   00001644   34415073   00001724   ---        --------
             313   N   00001724   000e0593   00001728   ---        --------
             314   N   00001728   00000513   0000172c   x11_a1     00000002
             315   N   0000172c   00000073   00001730   x10_a0     00000000
             316   E   00001730   00000013   00000b00   mstatus    00001800
             316   E   00001730   00000013   00000b00   mepc       00001730
             316   E   00001730   00000013   00000b00   mcause     0000000b
             316   E   00001730   00000013   00000b00   mtval      00000000
             319   N   00000b00   000047a1   00000b04   x14_a4     0000000b
             320   N   00000b04   04f70263   00000b06   x15_a5     00000008
             321   N   00000b06   000047a5   00000b0a   ---        --------
             322   N   00000b0a   02f70f63   00000b0c   x15_a5     00000009
             323   N   00000b0c   000047ad   00000b10   ---        --------
             324   N   00000b10   02f70c63   00000b12   x15_a5     0000000b
             325   N   00000b12   47ad0837   00000b4a   ---        --------
             329   N   00000b4a   08370013   000019e0   ---        --------
             332   N   000019e0   71428293   000019e4   x05_t0     fffff9e0
             333   N   000019e4   00008282   000019e8   x05_t0     000000f4
             334   N   000019e8   00000013   000000f4   ---        --------
             337   N   000000f4   0000006f   000000f8   ---        --------
             338   N   000000f8   ffffffff   000000f8   ---        --------
